n,grid,goals,static,moving,BFS_steps
2,  0 1\n0 S 1\n1 2 3,"{1: (0, 1), 2: (1, 0), 3: (1, 1)}",[],[],4
2,  0 1\n0 S 2\n1 1 3,"{1: (1, 0), 2: (0, 1), 3: (1, 1)}",[],[],4
2,  0 1\n0 S 1\n1 3 2,"{1: (0, 1), 2: (1, 1), 3: (1, 0)}",[],[],3
2,  0 1\n0 S 3\n1 1 2,"{1: (1, 0), 2: (1, 1), 3: (0, 1)}",[],[],3
3,  0 1 2\n0 S . .\n1 . 1 .\n2 3 2 .,"{1: (1, 1), 2: (2, 1), 3: (2, 0)}",[],[],4
3,  0 1 2\n0 S . 1\n1 . 2 3\n2 . . .,"{1: (0, 2), 2: (1, 1), 3: (1, 2)}",[],[],5
3,  0 1 2\n0 S . 3\n1 . . .\n2 . 1 2,"{1: (2, 1), 2: (2, 2), 3: (0, 2)}",[],[],6
3,  0 1 2\n0 S . .\n1 . 3 .\n2 2 . 1,"{1: (2, 2), 2: (2, 0), 3: (1, 1)}",[],[],8
3,  0 1 2\n0 S 1 .\n1 . . .\n2 . 2 3,"{1: (0, 1), 2: (2, 1), 3: (2, 2)}",[],[],4
3,  0 1 2\n0 S 2 .\n1 . . 3\n2 . . 1,"{1: (2, 2), 2: (0, 1), 3: (1, 2)}",[],[],9
3,  0 1 2\n0 S 3 2\n1 1 . .\n2 . . .,"{1: (1, 0), 2: (0, 2), 3: (0, 1)}",[],[],5
3,  0 1 2\n0 S . .\n1 . . .\n2 3 2 1,"{1: (2, 2), 2: (2, 1), 3: (2, 0)}",[],[],6
3,  0 1 2\n0 S 1 .\n1 3 . .\n2 . 2 .,"{1: (0, 1), 2: (2, 1), 3: (1, 0)}",[],[],5
3,  0 1 2\n0 S . .\n1 . 1 .\n2 3 . 2,"{1: (1, 1), 2: (2, 2), 3: (2, 0)}",[],[],6
